level,length,count
0,345597.302139,1908
20,9579235.402386,35005
40,40900606.892982,113241
60,28226708.749771,86079
80,6388503.606478,20121
100,2462032.681317,5910
120,1240238.865429,2020
140,725253.797459,670
160,571371.063051,362
180,481075.017889,234
200,421068.446736,161
220,377401.687675,140
240,349789.173592,108
260,339508.641816,102
280,326934.898105,135
300,312115.737048,120
320,299933.600475,96
340,298368.629487,116
360,285321.545096,93
380,276925.155878,96
400,268277.87384,77
420,265827.324694,63
440,251879.762128,71
460,246521.253918,63
480,247076.176449,83
500,241050.840745,66
520,245809.56541,79
540,238692.336838,67
560,230190.456945,57
580,225036.041551,51
600,225306.507834,46
620,226821.957987,55
640,234051.690177,61
660,246312.043542,80
680,244374.076443,77
700,257890.190398,101
720,283346.252313,112
740,302239.104427,129
760,349088.672202,174
780,393761.764967,245
800,464507.178746,309
820,475079.7046,335
840,435160.676795,310
860,353701.901811,249
880,277485.376836,193
900,230795.605643,128
920,207201.701486,131
940,194461.564271,100
960,191022.224721,128
980,196469.992637,130
1000,180085.405903,109
1020,212734.084466,210
1040,213083.844127,218
1060,290117.80801,367
1080,361906.20092,484
1100,380866.815015,552
1120,337122.555779,461
1140,262149.798984,335
1160,219119.869488,243
1180,209895.360938,251
1200,202620.952771,257
1220,223730.248737,327
1240,225047.1301,379
1260,121384.808264,152
1280,102102.890662,118
1300,87052.933235,74
1320,72024.765191,51
1340,63244.538129,49
1360,54775.971449,26
1380,53575.851529,25
1400,49838.736075,31
1420,46506.816918,29
1440,43981.306689,28
1460,41440.206662,25
1480,39438.455265,22
1500,34927.355485,18
1520,30550.388833,21
1540,27767.502119,14
1560,27030.9379,14
1580,26048.759348,18
1600,24737.287447,14
1620,24559.99383,16
1640,21841.536454,24
1660,20081.706083,12
1680,18528.043076,17
1700,17555.69976,11
1720,17181.668893,10
1740,16691.310146,10
1750,16630.413479,8
